label_id,commodity,name_fa,name_en,latitude_wgs84,longitude_wgs84,coordinate_format_original,precision_class,coordinate_source,source_url,host_rock_reported,deposit_type_reported,status,independent_of_MN001,notes,record_type,deposit_model,independent_group_id,coordinate_accuracy_m,coordinate_accuracy_class,crs_status,model_eligibility,validation_role,quality_reason
IR-09A-008,iron,قطرویه، نمونه MM5 (سنگ‌آهن مگنتیتی توده‌ای),Qatruyeh MM5 (massive magnetite ore sample),29.2590556,54.6001111,"DMS as printed in Table 1 Easting/Northing columns: 54°36′00.4″, 29°15′32.6″; no CRS/datum stated",A,"Asadi & Rajabzadeh (2014), “Geochemistry, Paragenesis, and Wall-Rock Alteration of the Qatruyeh Iron Deposits, Southwest of Iran: Implications for a Hydrothermal-Metasomatic Genetic Model”, Journal of Geological Research, Table 1 (Sample / Field number / Easting / Northing; electronic article, table under Methods; no CRS/datum stated). Ore sample field number MM5.",https://doi.org/10.1155/2014/590540,Dolomitic marble is reported as the associated host rock of the Qatruyeh iron ore bodies; sample host at each point is not separately specified in Table 1.,Hydrothermal-metasomatic Qatruyeh iron deposits; Table 1 classifies this sample as massive magnetite ore.,نامعلوم,بله,"Direct conversion of the printed DMS values to decimal degrees; Table 1 does not identify datum or CRS, and labels the columns Easting/Northing despite degree notation. Longitude/latitude order is interpreted from the numeric values and the stated Qatruyeh location; WGS84 datum is not verified. The 2014 article states no exploitation activities at that time; current operating status is unknown. This is an ore-sample location within one Qatruyeh study area, not a separate independent deposit or validation label.",sample,qatruyeh_hydrothermal_metasomatic_iron,QATRUYEH_2014_STUDY,,UNKNOWN_DATUM_SAMPLE_COORDINATE,UNVERIFIED,REFERENCE_ONLY,CLUSTERED_NOT_INDEPENDENT,Ore-sample location from one study; not an independent deposit or validation label.
IR-09A-009,iron,قطرویه، نمونه MM6 (سنگ‌آهن مگنتیتی توده‌ای),Qatruyeh MM6 (massive magnetite ore sample),29.2600278,54.6027778,"DMS as printed in Table 1 Easting/Northing columns: 54°36′10.0″, 29°15′36.1″; no CRS/datum stated",A,"Asadi & Rajabzadeh (2014), “Geochemistry, Paragenesis, and Wall-Rock Alteration of the Qatruyeh Iron Deposits, Southwest of Iran: Implications for a Hydrothermal-Metasomatic Genetic Model”, Journal of Geological Research, Table 1 (Sample / Field number / Easting / Northing; electronic article, table under Methods; no CRS/datum stated). Ore sample field number MM6.",https://doi.org/10.1155/2014/590540,Dolomitic marble is reported as the associated host rock of the Qatruyeh iron ore bodies; sample host at each point is not separately specified in Table 1.,Hydrothermal-metasomatic Qatruyeh iron deposits; Table 1 classifies this sample as massive magnetite ore.,نامعلوم,بله,"Direct conversion of the printed DMS values to decimal degrees; Table 1 does not identify datum or CRS, and labels the columns Easting/Northing despite degree notation. Longitude/latitude order is interpreted from the numeric values and the stated Qatruyeh location; WGS84 datum is not verified. The 2014 article states no exploitation activities at that time; current operating status is unknown. This is an ore-sample location within one Qatruyeh study area, not a separate independent deposit or validation label.",sample,qatruyeh_hydrothermal_metasomatic_iron,QATRUYEH_2014_STUDY,,UNKNOWN_DATUM_SAMPLE_COORDINATE,UNVERIFIED,REFERENCE_ONLY,CLUSTERED_NOT_INDEPENDENT,Ore-sample location from one study; not an independent deposit or validation label.
IR-09A-010,iron,قطرویه، نمونه MM7 (سنگ‌آهن مگنتیتی توده‌ای),Qatruyeh MM7 (massive magnetite ore sample),29.2600556,54.6033611,"DMS as printed in Table 1 Easting/Northing columns: 54°36′12.1″, 29°15′36.2″; no CRS/datum stated",A,"Asadi & Rajabzadeh (2014), “Geochemistry, Paragenesis, and Wall-Rock Alteration of the Qatruyeh Iron Deposits, Southwest of Iran: Implications for a Hydrothermal-Metasomatic Genetic Model”, Journal of Geological Research, Table 1 (Sample / Field number / Easting / Northing; electronic article, table under Methods; no CRS/datum stated). Ore sample field number MM7.",https://doi.org/10.1155/2014/590540,Dolomitic marble is reported as the associated host rock of the Qatruyeh iron ore bodies; sample host at each point is not separately specified in Table 1.,Hydrothermal-metasomatic Qatruyeh iron deposits; Table 1 classifies this sample as massive magnetite ore.,نامعلوم,بله,"Direct conversion of the printed DMS values to decimal degrees; Table 1 does not identify datum or CRS, and labels the columns Easting/Northing despite degree notation. Longitude/latitude order is interpreted from the numeric values and the stated Qatruyeh location; WGS84 datum is not verified. The 2014 article states no exploitation activities at that time; current operating status is unknown. This is an ore-sample location within one Qatruyeh study area, not a separate independent deposit or validation label.",sample,qatruyeh_hydrothermal_metasomatic_iron,QATRUYEH_2014_STUDY,,UNKNOWN_DATUM_SAMPLE_COORDINATE,UNVERIFIED,REFERENCE_ONLY,CLUSTERED_NOT_INDEPENDENT,Ore-sample location from one study; not an independent deposit or validation label.
IR-09A-011,iron,قطرویه، نمونه MM8 (سنگ‌آهن مگنتیتی توده‌ای),Qatruyeh MM8 (massive magnetite ore sample),29.2583333,54.6056667,"DMS as printed in Table 1 Easting/Northing columns: 54°36′20.4″, 29°15′30.0″; no CRS/datum stated",A,"Asadi & Rajabzadeh (2014), “Geochemistry, Paragenesis, and Wall-Rock Alteration of the Qatruyeh Iron Deposits, Southwest of Iran: Implications for a Hydrothermal-Metasomatic Genetic Model”, Journal of Geological Research, Table 1 (Sample / Field number / Easting / Northing; electronic article, table under Methods; no CRS/datum stated). Ore sample field number MM8.",https://doi.org/10.1155/2014/590540,Dolomitic marble is reported as the associated host rock of the Qatruyeh iron ore bodies; sample host at each point is not separately specified in Table 1.,Hydrothermal-metasomatic Qatruyeh iron deposits; Table 1 classifies this sample as massive magnetite ore.,نامعلوم,بله,"Direct conversion of the printed DMS values to decimal degrees; Table 1 does not identify datum or CRS, and labels the columns Easting/Northing despite degree notation. Longitude/latitude order is interpreted from the numeric values and the stated Qatruyeh location; WGS84 datum is not verified. The 2014 article states no exploitation activities at that time; current operating status is unknown. This is an ore-sample location within one Qatruyeh study area, not a separate independent deposit or validation label.",sample,qatruyeh_hydrothermal_metasomatic_iron,QATRUYEH_2014_STUDY,,UNKNOWN_DATUM_SAMPLE_COORDINATE,UNVERIFIED,REFERENCE_ONLY,CLUSTERED_NOT_INDEPENDENT,Ore-sample location from one study; not an independent deposit or validation label.
IR-09A-012,iron,قطرویه، نمونه LM1 (سنگ‌آهن مگنتیتی لایه‌ای),Qatruyeh LM1 (layered magnetite ore sample),29.2580278,54.6999722,"DMS as printed in Table 1 Easting/Northing columns: 54°41′59.9″, 29°15′28.9″; no CRS/datum stated",A,"Asadi & Rajabzadeh (2014), “Geochemistry, Paragenesis, and Wall-Rock Alteration of the Qatruyeh Iron Deposits, Southwest of Iran: Implications for a Hydrothermal-Metasomatic Genetic Model”, Journal of Geological Research, Table 1 (Sample / Field number / Easting / Northing; electronic article, table under Methods; no CRS/datum stated). Ore sample field number LM1.",https://doi.org/10.1155/2014/590540,Dolomitic marble is reported as the associated host rock of the Qatruyeh iron ore bodies; sample host at each point is not separately specified in Table 1.,Hydrothermal-metasomatic Qatruyeh iron deposits; Table 1 classifies this sample as layered magnetite ore.,نامعلوم,بله,"Direct conversion of the printed DMS values to decimal degrees; Table 1 does not identify datum or CRS, and labels the columns Easting/Northing despite degree notation. Longitude/latitude order is interpreted from the numeric values and the stated Qatruyeh location; WGS84 datum is not verified. The 2014 article states no exploitation activities at that time; current operating status is unknown. This is an ore-sample location within one Qatruyeh study area, not a separate independent deposit or validation label.",sample,qatruyeh_hydrothermal_metasomatic_iron,QATRUYEH_2014_STUDY,,UNKNOWN_DATUM_SAMPLE_COORDINATE,UNVERIFIED,REFERENCE_ONLY,CLUSTERED_NOT_INDEPENDENT,Ore-sample location from one study; not an independent deposit or validation label.
IR-09A-013,iron,قطرویه، نمونه LM2 (سنگ‌آهن مگنتیتی لایه‌ای),Qatruyeh LM2 (layered magnetite ore sample),29.2364444,54.6611111,"DMS as printed in Table 1 Easting/Northing columns: 54°39′40.0″, 29°14′11.2″; no CRS/datum stated",A,"Asadi & Rajabzadeh (2014), “Geochemistry, Paragenesis, and Wall-Rock Alteration of the Qatruyeh Iron Deposits, Southwest of Iran: Implications for a Hydrothermal-Metasomatic Genetic Model”, Journal of Geological Research, Table 1 (Sample / Field number / Easting / Northing; electronic article, table under Methods; no CRS/datum stated). Ore sample field number LM2.",https://doi.org/10.1155/2014/590540,Dolomitic marble is reported as the associated host rock of the Qatruyeh iron ore bodies; sample host at each point is not separately specified in Table 1.,Hydrothermal-metasomatic Qatruyeh iron deposits; Table 1 classifies this sample as layered magnetite ore.,نامعلوم,بله,"Direct conversion of the printed DMS values to decimal degrees; Table 1 does not identify datum or CRS, and labels the columns Easting/Northing despite degree notation. Longitude/latitude order is interpreted from the numeric values and the stated Qatruyeh location; WGS84 datum is not verified. The 2014 article states no exploitation activities at that time; current operating status is unknown. This is an ore-sample location within one Qatruyeh study area, not a separate independent deposit or validation label.",sample,qatruyeh_hydrothermal_metasomatic_iron,QATRUYEH_2014_STUDY,,UNKNOWN_DATUM_SAMPLE_COORDINATE,UNVERIFIED,REFERENCE_ONLY,CLUSTERED_NOT_INDEPENDENT,Ore-sample location from one study; not an independent deposit or validation label.
IR-09A-014,iron,قطرویه، نمونه LM3 (سنگ‌آهن مگنتیتی لایه‌ای),Qatruyeh LM3 (layered magnetite ore sample),29.2374167,54.6573056,"DMS as printed in Table 1 Easting/Northing columns: 54°39′26.3″, 29°14′14.7″; no CRS/datum stated",A,"Asadi & Rajabzadeh (2014), “Geochemistry, Paragenesis, and Wall-Rock Alteration of the Qatruyeh Iron Deposits, Southwest of Iran: Implications for a Hydrothermal-Metasomatic Genetic Model”, Journal of Geological Research, Table 1 (Sample / Field number / Easting / Northing; electronic article, table under Methods; no CRS/datum stated). Ore sample field number LM3.",https://doi.org/10.1155/2014/590540,Dolomitic marble is reported as the associated host rock of the Qatruyeh iron ore bodies; sample host at each point is not separately specified in Table 1.,Hydrothermal-metasomatic Qatruyeh iron deposits; Table 1 classifies this sample as layered magnetite ore.,نامعلوم,بله,"Direct conversion of the printed DMS values to decimal degrees; Table 1 does not identify datum or CRS, and labels the columns Easting/Northing despite degree notation. Longitude/latitude order is interpreted from the numeric values and the stated Qatruyeh location; WGS84 datum is not verified. The 2014 article states no exploitation activities at that time; current operating status is unknown. This is an ore-sample location within one Qatruyeh study area, not a separate independent deposit or validation label.",sample,qatruyeh_hydrothermal_metasomatic_iron,QATRUYEH_2014_STUDY,,UNKNOWN_DATUM_SAMPLE_COORDINATE,UNVERIFIED,REFERENCE_ONLY,CLUSTERED_NOT_INDEPENDENT,Ore-sample location from one study; not an independent deposit or validation label.
IR-09A-015,iron,قطرویه، نمونه LM4 (سنگ‌آهن مگنتیتی لایه‌ای),Qatruyeh LM4 (layered magnetite ore sample),29.2391944,54.6580833,"DMS as printed in Table 1 Easting/Northing columns: 54°39′29.1″, 29°14′21.1″; no CRS/datum stated",A,"Asadi & Rajabzadeh (2014), “Geochemistry, Paragenesis, and Wall-Rock Alteration of the Qatruyeh Iron Deposits, Southwest of Iran: Implications for a Hydrothermal-Metasomatic Genetic Model”, Journal of Geological Research, Table 1 (Sample / Field number / Easting / Northing; electronic article, table under Methods; no CRS/datum stated). Ore sample field number LM4.",https://doi.org/10.1155/2014/590540,Dolomitic marble is reported as the associated host rock of the Qatruyeh iron ore bodies; sample host at each point is not separately specified in Table 1.,Hydrothermal-metasomatic Qatruyeh iron deposits; Table 1 classifies this sample as layered magnetite ore.,نامعلوم,بله,"Direct conversion of the printed DMS values to decimal degrees; Table 1 does not identify datum or CRS, and labels the columns Easting/Northing despite degree notation. Longitude/latitude order is interpreted from the numeric values and the stated Qatruyeh location; WGS84 datum is not verified. The 2014 article states no exploitation activities at that time; current operating status is unknown. This is an ore-sample location within one Qatruyeh study area, not a separate independent deposit or validation label.",sample,qatruyeh_hydrothermal_metasomatic_iron,QATRUYEH_2014_STUDY,,UNKNOWN_DATUM_SAMPLE_COORDINATE,UNVERIFIED,REFERENCE_ONLY,CLUSTERED_NOT_INDEPENDENT,Ore-sample location from one study; not an independent deposit or validation label.
IR-09A-016,iron,قطرویه، نمونه LM5 (سنگ‌آهن مگنتیتی لایه‌ای),Qatruyeh LM5 (layered magnetite ore sample),29.2393611,54.6611111,"DMS as printed in Table 1 Easting/Northing columns: 54°39′40.0″, 29°14′21.7″; no CRS/datum stated",A,"Asadi & Rajabzadeh (2014), “Geochemistry, Paragenesis, and Wall-Rock Alteration of the Qatruyeh Iron Deposits, Southwest of Iran: Implications for a Hydrothermal-Metasomatic Genetic Model”, Journal of Geological Research, Table 1 (Sample / Field number / Easting / Northing; electronic article, table under Methods; no CRS/datum stated). Ore sample field number LM5.",https://doi.org/10.1155/2014/590540,Dolomitic marble is reported as the associated host rock of the Qatruyeh iron ore bodies; sample host at each point is not separately specified in Table 1.,Hydrothermal-metasomatic Qatruyeh iron deposits; Table 1 classifies this sample as layered magnetite ore.,نامعلوم,بله,"Direct conversion of the printed DMS values to decimal degrees; Table 1 does not identify datum or CRS, and labels the columns Easting/Northing despite degree notation. Longitude/latitude order is interpreted from the numeric values and the stated Qatruyeh location; WGS84 datum is not verified. The 2014 article states no exploitation activities at that time; current operating status is unknown. This is an ore-sample location within one Qatruyeh study area, not a separate independent deposit or validation label.",sample,qatruyeh_hydrothermal_metasomatic_iron,QATRUYEH_2014_STUDY,,UNKNOWN_DATUM_SAMPLE_COORDINATE,UNVERIFIED,REFERENCE_ONLY,CLUSTERED_NOT_INDEPENDENT,Ore-sample location from one study; not an independent deposit or validation label.
IR-09A-017,iron,قطرویه، نمونه LM6 (سنگ‌آهن مگنتیتی لایه‌ای),Qatruyeh LM6 (layered magnetite ore sample),29.2392222,54.6581944,"DMS as printed in Table 1 Easting/Northing columns: 54°39′29.5″, 29°14′21.2″; no CRS/datum stated",A,"Asadi & Rajabzadeh (2014), “Geochemistry, Paragenesis, and Wall-Rock Alteration of the Qatruyeh Iron Deposits, Southwest of Iran: Implications for a Hydrothermal-Metasomatic Genetic Model”, Journal of Geological Research, Table 1 (Sample / Field number / Easting / Northing; electronic article, table under Methods; no CRS/datum stated). Ore sample field number LM6.",https://doi.org/10.1155/2014/590540,Dolomitic marble is reported as the associated host rock of the Qatruyeh iron ore bodies; sample host at each point is not separately specified in Table 1.,Hydrothermal-metasomatic Qatruyeh iron deposits; Table 1 classifies this sample as layered magnetite ore.,نامعلوم,بله,"Direct conversion of the printed DMS values to decimal degrees; Table 1 does not identify datum or CRS, and labels the columns Easting/Northing despite degree notation. Longitude/latitude order is interpreted from the numeric values and the stated Qatruyeh location; WGS84 datum is not verified. The 2014 article states no exploitation activities at that time; current operating status is unknown. This is an ore-sample location within one Qatruyeh study area, not a separate independent deposit or validation label.",sample,qatruyeh_hydrothermal_metasomatic_iron,QATRUYEH_2014_STUDY,,UNKNOWN_DATUM_SAMPLE_COORDINATE,UNVERIFIED,REFERENCE_ONLY,CLUSTERED_NOT_INDEPENDENT,Ore-sample location from one study; not an independent deposit or validation label.
IR-09A-018,iron,قطرویه، نمونه LM7 (سنگ‌آهن مگنتیتی لایه‌ای),Qatruyeh LM7 (layered magnetite ore sample),29.2392500,54.6611944,"DMS as printed in Table 1 Easting/Northing columns: 54°39′40.3″, 29°14′21.3″; no CRS/datum stated",A,"Asadi & Rajabzadeh (2014), “Geochemistry, Paragenesis, and Wall-Rock Alteration of the Qatruyeh Iron Deposits, Southwest of Iran: Implications for a Hydrothermal-Metasomatic Genetic Model”, Journal of Geological Research, Table 1 (Sample / Field number / Easting / Northing; electronic article, table under Methods; no CRS/datum stated). Ore sample field number LM7.",https://doi.org/10.1155/2014/590540,Dolomitic marble is reported as the associated host rock of the Qatruyeh iron ore bodies; sample host at each point is not separately specified in Table 1.,Hydrothermal-metasomatic Qatruyeh iron deposits; Table 1 classifies this sample as layered magnetite ore.,نامعلوم,بله,"Direct conversion of the printed DMS values to decimal degrees; Table 1 does not identify datum or CRS, and labels the columns Easting/Northing despite degree notation. Longitude/latitude order is interpreted from the numeric values and the stated Qatruyeh location; WGS84 datum is not verified. The 2014 article states no exploitation activities at that time; current operating status is unknown. This is an ore-sample location within one Qatruyeh study area, not a separate independent deposit or validation label.",sample,qatruyeh_hydrothermal_metasomatic_iron,QATRUYEH_2014_STUDY,,UNKNOWN_DATUM_SAMPLE_COORDINATE,UNVERIFIED,REFERENCE_ONLY,CLUSTERED_NOT_INDEPENDENT,Ore-sample location from one study; not an independent deposit or validation label.
IR-09A-019,iron,قطرویه، نمونه LM8 (سنگ‌آهن مگنتیتی لایه‌ای),Qatruyeh LM8 (layered magnetite ore sample),29.2378889,54.6576667,"DMS as printed in Table 1 Easting/Northing columns: 54°39′27.6″, 29°14′16.4″; no CRS/datum stated",A,"Asadi & Rajabzadeh (2014), “Geochemistry, Paragenesis, and Wall-Rock Alteration of the Qatruyeh Iron Deposits, Southwest of Iran: Implications for a Hydrothermal-Metasomatic Genetic Model”, Journal of Geological Research, Table 1 (Sample / Field number / Easting / Northing; electronic article, table under Methods; no CRS/datum stated). Ore sample field number LM8.",https://doi.org/10.1155/2014/590540,Dolomitic marble is reported as the associated host rock of the Qatruyeh iron ore bodies; sample host at each point is not separately specified in Table 1.,Hydrothermal-metasomatic Qatruyeh iron deposits; Table 1 classifies this sample as layered magnetite ore.,نامعلوم,بله,"Direct conversion of the printed DMS values to decimal degrees; Table 1 does not identify datum or CRS, and labels the columns Easting/Northing despite degree notation. Longitude/latitude order is interpreted from the numeric values and the stated Qatruyeh location; WGS84 datum is not verified. The 2014 article states no exploitation activities at that time; current operating status is unknown. This is an ore-sample location within one Qatruyeh study area, not a separate independent deposit or validation label.",sample,qatruyeh_hydrothermal_metasomatic_iron,QATRUYEH_2014_STUDY,,UNKNOWN_DATUM_SAMPLE_COORDINATE,UNVERIFIED,REFERENCE_ONLY,CLUSTERED_NOT_INDEPENDENT,Ore-sample location from one study; not an independent deposit or validation label.
IR-09A-020,iron,قطرویه، نمونه LM9 (سنگ‌آهن مگنتیتی لایه‌ای),Qatruyeh LM9 (layered magnetite ore sample),29.2392222,54.6581944,"DMS as printed in Table 1 Easting/Northing columns: 54°39′29.5″, 29°14′21.2″; no CRS/datum stated",A,"Asadi & Rajabzadeh (2014), “Geochemistry, Paragenesis, and Wall-Rock Alteration of the Qatruyeh Iron Deposits, Southwest of Iran: Implications for a Hydrothermal-Metasomatic Genetic Model”, Journal of Geological Research, Table 1 (Sample / Field number / Easting / Northing; electronic article, table under Methods; no CRS/datum stated). Ore sample field number LM9.",https://doi.org/10.1155/2014/590540,Dolomitic marble is reported as the associated host rock of the Qatruyeh iron ore bodies; sample host at each point is not separately specified in Table 1.,Hydrothermal-metasomatic Qatruyeh iron deposits; Table 1 classifies this sample as layered magnetite ore.,نامعلوم,بله,"Direct conversion of the printed DMS values to decimal degrees; Table 1 does not identify datum or CRS, and labels the columns Easting/Northing despite degree notation. Longitude/latitude order is interpreted from the numeric values and the stated Qatruyeh location; WGS84 datum is not verified. The 2014 article states no exploitation activities at that time; current operating status is unknown. This is an ore-sample location within one Qatruyeh study area, not a separate independent deposit or validation label.",sample,qatruyeh_hydrothermal_metasomatic_iron,QATRUYEH_2014_STUDY,,UNKNOWN_DATUM_SAMPLE_COORDINATE,UNVERIFIED,REFERENCE_ONLY,CLUSTERED_NOT_INDEPENDENT,Ore-sample location from one study; not an independent deposit or validation label.
IR-09A-021,iron,قطرویه، نمونه LM10 (سنگ‌آهن مگنتیتی لایه‌ای),Qatruyeh LM10 (layered magnetite ore sample),29.2356111,54.6558611,"DMS as printed in Table 1 Easting/Northing columns: 54°39′21.1″, 29°14′08.2″; no CRS/datum stated",A,"Asadi & Rajabzadeh (2014), “Geochemistry, Paragenesis, and Wall-Rock Alteration of the Qatruyeh Iron Deposits, Southwest of Iran: Implications for a Hydrothermal-Metasomatic Genetic Model”, Journal of Geological Research, Table 1 (Sample / Field number / Easting / Northing; electronic article, table under Methods; no CRS/datum stated). Ore sample field number LM10.",https://doi.org/10.1155/2014/590540,Dolomitic marble is reported as the associated host rock of the Qatruyeh iron ore bodies; sample host at each point is not separately specified in Table 1.,Hydrothermal-metasomatic Qatruyeh iron deposits; Table 1 classifies this sample as layered magnetite ore.,نامعلوم,بله,"Direct conversion of the printed DMS values to decimal degrees; Table 1 does not identify datum or CRS, and labels the columns Easting/Northing despite degree notation. Longitude/latitude order is interpreted from the numeric values and the stated Qatruyeh location; WGS84 datum is not verified. The 2014 article states no exploitation activities at that time; current operating status is unknown. This is an ore-sample location within one Qatruyeh study area, not a separate independent deposit or validation label.",sample,qatruyeh_hydrothermal_metasomatic_iron,QATRUYEH_2014_STUDY,,UNKNOWN_DATUM_SAMPLE_COORDINATE,UNVERIFIED,REFERENCE_ONLY,CLUSTERED_NOT_INDEPENDENT,Ore-sample location from one study; not an independent deposit or validation label.
IR-09A-022,iron,قطرویه، نمونه LM11 (سنگ‌آهن مگنتیتی لایه‌ای),Qatruyeh LM11 (layered magnetite ore sample),29.2326944,54.6581389,"DMS as printed in Table 1 Easting/Northing columns: 54°39′29.3″, 29°13′57.7″; no CRS/datum stated",A,"Asadi & Rajabzadeh (2014), “Geochemistry, Paragenesis, and Wall-Rock Alteration of the Qatruyeh Iron Deposits, Southwest of Iran: Implications for a Hydrothermal-Metasomatic Genetic Model”, Journal of Geological Research, Table 1 (Sample / Field number / Easting / Northing; electronic article, table under Methods; no CRS/datum stated). Ore sample field number LM11.",https://doi.org/10.1155/2014/590540,Dolomitic marble is reported as the associated host rock of the Qatruyeh iron ore bodies; sample host at each point is not separately specified in Table 1.,Hydrothermal-metasomatic Qatruyeh iron deposits; Table 1 classifies this sample as layered magnetite ore.,نامعلوم,بله,"Direct conversion of the printed DMS values to decimal degrees; Table 1 does not identify datum or CRS, and labels the columns Easting/Northing despite degree notation. Longitude/latitude order is interpreted from the numeric values and the stated Qatruyeh location; WGS84 datum is not verified. The 2014 article states no exploitation activities at that time; current operating status is unknown. This is an ore-sample location within one Qatruyeh study area, not a separate independent deposit or validation label.",sample,qatruyeh_hydrothermal_metasomatic_iron,QATRUYEH_2014_STUDY,,UNKNOWN_DATUM_SAMPLE_COORDINATE,UNVERIFIED,REFERENCE_ONLY,CLUSTERED_NOT_INDEPENDENT,Ore-sample location from one study; not an independent deposit or validation label.
